,student,activity,success,Tentative,time
4,0,1,1.0,1.0,25.0
7,0,1,1.0,2.0,37.0
9,0,1,1.0,3.0,6.0
11,0,1,1.0,4.0,6.0
13,0,1,1.0,5.0,5.0
15,0,3,1.0,1.0,15.0
17,0,3,1.0,2.0,5.0
19,0,3,1.0,3.0,5.0
21,0,3,1.0,4.0,6.0
23,0,2,0.0,1.0,43.0
24,0,2,1.0,2.0,35.0
26,0,2,1.0,3.0,29.0
28,0,2,0.0,4.0,18.0
29,0,2,1.0,5.0,11.0
31,0,2,0.0,6.0,11.0
32,0,2,1.0,7.0,6.0
37,0,7,1.0,1.0,610.0
39,0,4,1.0,1.0,33.0
41,0,5,1.0,1.0,90.0
50,0,2,1.0,8.0,64.0
52,0,2,1.0,9.0,39.0
54,0,2,1.0,10.0,482.0
56,0,2,1.0,11.0,18.0
62,0,1,1.0,6.0,18.0
64,0,3,1.0,5.0,56.0
68,0,4,1.0,2.0,11.0
70,0,7,1.0,2.0,39.0
72,0,5,1.0,2.0,17.0
74,0,1,1.0,7.0,26.0
77,0,4,1.0,3.0,25.0
79,0,5,1.0,3.0,18.0
81,0,1,1.0,8.0,14.0
83,0,12,0.0,1.0,23.0
84,0,12,1.0,2.0,12.0
88,0,12,1.0,3.0,31.0
90,0,13,0.0,1.0,20.0
91,0,13,1.0,2.0,42.0
93,0,13,1.0,3.0,17.0
95,0,15,0.0,1.0,26.0
97,0,14,1.0,1.0,156.0
99,0,15,1.0,2.0,49.0
101,0,14,1.0,2.0,14.0
104,0,4,1.0,4.0,14.0
106,0,6,1.0,1.0,22.0
108,0,2,1.0,12.0,16.0
146,0,1,1.0,9.0,30.0
148,0,2,1.0,13.0,14.0
163,0,8,1.0,1.0,17.0
165,0,10,1.0,1.0,19.0
167,0,7,1.0,3.0,16.0
169,0,8,1.0,2.0,15.0
173,0,7,1.0,4.0,13.0
175,0,8,1.0,3.0,30.0
